city,name,address,postal_code,latitude,longitude,open_weekend,open_holidays,open_time,close_time,fee_per_hour,cashless_payment,ev_charging,total_spots,source_url
Hamburg,Parkhaus Krummholzberg,"Krummholzberg 10, 21073 Hamburg",21073,,,True,True,0,24,0.0,True,-,312,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-krummholzberg-hamburg--ci3cp1124509
Hamburg,Tiefgarage Enckeplatz Quartiersgarage,"Hütten 14, 20355 Hamburg",20355,,,False,False,0,24,0.0,False,-,94,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-enckeplatz-quartiersgarage-hamburg--ci3cp1124400
Hamburg,Tiefgarage Am Sandtorkai,"Singapurstraße Haus 2, 20457 Hamburg",20457,,,True,True,0,24,0.0,True,-,277,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-am-sandtorkai-hamburg--ci3cp113074899
Hamburg,Tiefgarage Elbarkaden ,"Hongkongstraße 6a, 20457 Hamburg",20457,,,True,True,0,24,0.0,False,0,220,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-elbarkaden-hamburg--ci3cp1124081
Hamburg,Tiefgarage Wandsbek Quarree P1,"Schünemannstieg, 22041 Hamburg",22041,,,False,False,6,24,0.0,False,0,345,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-wandsbek-quarree-p1-hamburg--ci3cp1124102
Hamburg,Parkplatz Hansa-Theater,"Bremer Reihe 16-18, 20099 Hamburg",20099,,,True,True,0,24,0.0,True,-,51,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkplatz-hansa-theater-hamburg--ci3cp112617329
Hamburg,Parkhaus Speicherstadt,"Am Sandtorkai 6, 20457 Hamburg",20457,,,True,True,0,24,0.0,False,-,814,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-speicherstadt-hamburg--ci3cp1124106
Hamburg,Tiefgarage Überseequartier ,"Überseeallee 3, 20457 Hamburg",20457,,,True,True,0,24,0.0,True,-,420,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-ueberseequartier-hamburg--ci3cp1124103
Hamburg,Parkhaus W1 - Wandsbek,"Brauhausstieg, 22041 Hamburg",22041,,,True,True,0,24,0.0,False,-,316,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-w1-wandsbek-hamburg--ci3cp1124218
Hamburg,Tiefgarage Neues Forum Altona,"Lawaetzweg 4, 22767 Hamburg",22767,,,True,True,0,24,0.0,True,-,154,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-neues-forum-altona-hamburg--ci3cp1124149
Hamburg,Parkplatz City Rahlstedt Dauerparkerbereich (außen),"Boizenburger Weg, 22143 Hamburg",22143,,,False,False,0,24,0.0,False,-,9,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkplatz-city-rahlstedt-dauerparkerbereich-aussen-hamburg--ci3cp115083097
Hamburg,Parkhaus Buxtehuder Straße,"Küchgarten 21, 21073 Hamburg",21073,,,True,True,0,24,0.0,False,-,762,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-buxtehuder-strasse-hamburg--ci3cp1124399
Hamburg,Parkplatz Hühnerposten P2,"Hühnerposten 1, 20097 Hamburg",20097,,,True,True,0,24,3.5,True,-,16,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkplatz-huehnerposten-p2-hamburg--ci3cp1124192
Hamburg,Parkplatz Harburg Bahnhof P1,"Hannoversche Straße, 21079 Hamburg",21079,,,True,True,0,24,3.0,False,-,54,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkplatz-harburg-bahnhof-p1-hamburg--ci3cp1124307
Hamburg,Parkhaus Mercado (Altona Bahnhof),"Hahnenkamp 3, 22765 Hamburg",22765,,,True,True,0,24,0.0,False,0,400,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-mercado-altona-bahnhof-hamburg--ci3cp113367810
Hamburg,Parkhaus Hamburger Meile (Parking deck),"Desenißstraße 4, 22083 Hamburg",22083,,,True,True,0,24,0.0,False,-,159,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-hamburger-meile-parking-deck-hamburg--ci3cp1124527
Hamburg,Parkhaus Hahnenkamp,"Hahnenkamp 3, 22765 Hamburg",22765,,,True,True,0,24,0.0,False,-,77,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-hahnenkamp-hamburg--ci3cp113368967
Hamburg,Tiefgarage Hamburger Meile ,"Adolph-Schönfelder-Straße 5 - 7, 22083 Hamburg",22083,,,True,True,0,24,0.0,False,0,50,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-hamburger-meile-hamburg--ci3cp1124526
Hamburg,Tiefgarage Harburg Bahnhof P2,"Hannoversche Straße, 21080 Hamburg",21080,,,True,True,0,24,0.0,False,-,0,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-harburg-bahnhof-p2-hamburg--ci3cp113607908
